Date,Tmax,Tmin,Tavg,Depart,PrecipTotal,Heat
12/26/06,34,28,31,7,  T,34
12/27/06,38,28,33,9,0,32
12/28/06,48,36,42,18,0,23
12/29/06,50,40,45,21,0,20
12/30/06,50,40,45,22,0,20
12/31/06,56,43,50,27,0.21,15
,43,29,36,13,0,29
,43,26,35,12,0,30
,48,33,41,18,0,24
,52,39,46,24,0.66,19
,50,42,46,24,0.03,19
,42,29,36,14,0.02,29
,41,27,34,12,0.05,31
,39,26,33,11,  T,32
,33,22,28,6,0,37
,35,18,27,5,0,38
,45,35,40,18,0.02,25
,48,33,41,19,0.19,24
,33,29,31,10,  T,34
,33,30,32,11,0.43,33
,33,21,27,6,0.21,38
,23,11,17,-4,  T,48
,22,9,16,-5,  T,49
,30,22,26,5,  T,39
,27,18,23,1,  T,42
,27,10,19,-3,0,46
,29,26,28,6,0.08,37
,31,25,28,6,  T,37
,26,22,24,2,0,41
,28,22,25,3,  T,40
,24,15,20,-2,  T,45
,43,20,32,10,0,33
,34,15,25,3,  T,40
,24,7,16,-6,0.02,49
,25,9,17,-6,0.01,48
,18,7,13,-10,  T,52
,20,3,12,-11,  T,53
2/1/07,24,11,18,-5,  T,47
2/2/07,12,6,9,-14,  T,56
2/3/07,11,-6,3,-21,  T,62
2/4/07,2,-6,-2,-26,0,67
2/5/07,5,-10,-2,-26,0,67
2/6/07,10,-5,3,-21,0.11,62
2/7/07,11,-2,5,-20,0,60
2/8/07,11,-4,4,-21,0,61
2/9/07,17,2,10,-15,0,55
2/10/07,13,-1,6,-20,0,59
2/11/07,27,5,16,-10,  T,49
2/12/07,31,25,28,2,0.09,37
2/13/07,27,15,21,-5,0.39,44
2/14/07,21,7,14,-13,0.03,51
2/15/07,14,2,8,-19,0,57
2/16/07,19,-4,8,-19,  T,57
2/17/07,26,16,21,-7,0.08,44
2/18/07,22,11,17,-11,0,48
2/19/07,42,13,28,0,0,37
2/20/07,45,30,38,9,0,27
2/21/07,48,23,36,7,0,29
2/22/07,40,27,34,5,0,31
2/23/07,33,23,28,-2,  T,37
2/24/07,32,26,29,-1,0.43,36
2/25/07,38,31,35,5,0.44,30
2/26/07,34,30,32,1,0.03,33
2/27/07,33,29,31,0,0,34
2/28/07,35,28,32,1,0.01,33
3/1/07,45,32,39,7,1.09,26
3/2/07,32,25,29,-3,0.06,36
3/3/07,27,20,24,-9,0.02,41
3/4/07,31,14,23,-10,0,42
3/5/07,33,19,26,-7,0,39
3/6/07,24,16,20,-14,0.05,45
3/7/07,28,21,25,-9,0.03,40
3/8/07,40,13,27,-7,0,38
3/9/07,56,28,42,7,0.28,23
3/10/07,51,30,41,6,0,24
3/11/07,54,28,41,5,0,24
3/12/07,63,36,50,14,  T,15
3/13/07,73,48,61,25,0,4
3/14/07,61,35,48,11,0.16,17
3/15/07,38,28,33,-4,  T,32
3/16/07,39,25,32,-5,0,33
3/17/07,39,24,32,-6,0,33
3/18/07,47,21,34,-4,0,31
3/19/07,61,36,49,11,0.06,16
3/20/07,43,30,37,-2,0,28
3/21/07,67,37,52,13,1.07,13
3/22/07,64,44,54,15,0.09,11
3/23/07,52,44,48,8,0.04,17
3/24/07,64,52,58,18,  T,7
3/25/07,79,48,64,23,0,1
3/26/07,79,63,71,30,0,0
3/27/07,73,45,59,18,0,6
3/28/07,50,44,47,5,0.2,18
3/29/07,60,46,53,11,0,12
3/30/07,55,46,51,9,  T,14
3/31/07,63,45,54,11,0.51,11
4/1/07,61,46,54,11,0.09,11
4/2/07,61,41,51,8,0,14
4/3/07,70,35,53,10,0.15,12
4/4/07,35,28,32,-11,  T,33
4/5/07,40,27,34,-10,0,31
4/6/07,36,23,30,-14,0,35
4/7/07,32,22,27,-18,0,38
4/8/07,40,28,34,-11,  T,31
4/9/07,43,29,36,-9,  T,29
4/10/07,52,26,39,-7,0,26
4/11/07,43,33,38,-8,1.15,27
4/12/07,38,33,36,-10,0.09,29
4/13/07,51,32,42,-5,0,23
4/14/07,49,35,42,-5,0,23
4/15/07,58,29,44,-3,0,21
4/16/07,62,32,47,-1,0,18
4/17/07,70,36,53,5,  T,12
4/18/07,50,39,45,-4,  T,20
4/19/07,58,41,50,1,  T,15
4/20/07,68,38,53,4,0,12
4/21/07,77,43,60,10,0,5
4/22/07,83,52,68,17,  T,0
4/23/07,70,51,61,10,0,4
4/24/07,68,44,56,5,0.3,9
4/25/07,49,45,47,-5,1.06,18
4/26/07,56,45,51,-1,0.49,14
4/27/07,53,43,48,-4,  T,17
4/28/07,73,39,56,3,0,9
4/29/07,82,45,64,11,0.15,1
4/30/07,67,51,59,6,0.01,6
5/1/07,83,50,67,14,0,0
5/2/07,59,42,51,-3,0,14
5/3/07,66,46,56,2,0,9
5/4/07,66,49,58,4,  T,7
5/5/07,66,53,60,5,  T,5
5/6/07,68,49,59,4,0,6
5/7/07,83,47,65,10,  T,0
5/8/07,82,54,68,12,0,0
5/9/07,77,61,69,13,0.13,0
5/10/07,84,56,70,14,0,0
5/11/07,70,51,61,4,0,4
5/12/07,64,46,55,-2,0,10
5/13/07,69,43,56,-2,0,9
5/14/07,90,56,73,15,0,0
5/15/07,80,57,69,11,0.38,0
5/16/07,66,44,55,-4,0.14,10
5/17/07,62,43,53,-6,0,12
5/18/07,71,42,57,-3,0,8
5/19/07,80,56,68,8,0,0
5/20/07,69,43,56,-5,0.07,9
5/21/07,80,44,62,1,0,3
5/22/07,87,55,71,10,0,0
5/23/07,89,60,75,14,0,0
5/24/07,88,63,76,14,0.02,0
5/25/07,70,56,63,1,  T,2
5/26/07,65,49,57,-5,1.01,8
5/27/07,75,57,66,4,0.04,0
5/28/07,79,50,65,2,  T,0
5/29/07,88,60,74,10,0,0
5/30/07,87,66,77,13,0,0
5/31/07,78,65,72,8,0.01,0
6/1/07,85,62,74,10,0.19,0
6/2/07,81,65,73,9,0.04,0
6/3/07,78,62,70,6,0.01,0
6/4/07,71,58,65,1,0.39,0
6/5/07,64,47,56,-9,0.42,9
6/6/07,71,44,58,-8,0.01,7
6/7/07,91,71,81,15,0,0
6/8/07,81,57,69,3,0,0
6/9/07,79,52,66,0,0,0
6/10/07,81,55,68,1,0,0
6/11/07,86,58,72,5,0,0
6/12/07,83,62,73,5,0,0
6/13/07,87,60,74,6,0,0
6/14/07,89,64,77,9,0,0
6/15/07,91,63,77,9,0,0
6/16/07,93,66,80,11,  T,0
6/17/07,91,70,81,12,0,0
6/18/07,89,69,79,9,0.28,0
6/19/07,80,65,73,3,0.58,0
6/20/07,84,61,73,3,0,0
6/21/07,77,61,69,-1,0.01,0
6/22/07,76,61,69,-1,  T,0
6/23/07,67,62,65,-5,0.05,0
6/24/07,77,63,70,-1,0,0
6/25/07,89,65,77,6,0,0
6/26/07,92,70,81,10,0.16,0
6/27/07,91,71,81,10,0.15,0
6/28/07,74,58,66,-5,0,0
6/29/07,70,56,63,-8,0,2
6/30/07,79,54,67,-5,0,0
7/1/07,75,54,65,-7,0,0
7/2/07,79,53,66,-6,0,0
7/3/07,83,60,72,0,0.4,0
7/4/07,86,67,77,5,0.16,0
7/5/07,89,71,80,8,0,0
7/6/07,86,66,76,4,0,0
7/7/07,90,64,77,5,0,0
7/8/07,94,75,85,12,0,0
7/9/07,94,70,82,9,0.3,0
7/10/07,89,69,79,6,0.43,0
7/11/07,77,62,70,-3,0,0
7/12/07,80,61,71,-2,0,0
7/13/07,78,58,68,-5,0,0
7/14/07,84,61,73,0,0,0
7/15/07,82,60,71,-3,0,0
7/16/07,82,65,74,0,0.39,0
7/17/07,83,68,76,2,0.11,0
7/18/07,85,69,77,3,1.55,0
7/19/07,83,63,73,-1,0.16,0
7/20/07,75,58,67,-7,0,0
7/21/07,74,58,66,-8,0,0
7/22/07,81,58,70,-4,0,0
7/23/07,83,60,72,-2,0,0
7/24/07,82,65,74,0,0,0
7/25/07,85,71,78,4,  T,0
7/26/07,83,66,75,1,0.19,0
7/27/07,83,70,77,3,0.17,0
7/28/07,80,66,73,-1,0,0
7/29/07,85,63,74,0,0,0
7/30/07,89,62,76,2,0,0
7/31/07,91,68,80,6,0,0
8/1/07,92,69,81,8,0,0
8/2/07,91,70,81,8,0,0
8/3/07,90,69,80,7,0,0
8/4/07,81,64,73,0,0.03,0
8/5/07,88,67,78,5,1.43,0
8/6/07,88,74,81,8,0.26,0
8/7/07,91,72,82,9,1.31,0
8/8/07,87,73,80,7,0.06,0
8/9/07,84,72,78,5,0.05,0
8/10/07,86,70,78,5,0,0
8/11/07,89,67,78,5,0,0
8/12/07,88,67,78,5,0.29,0
8/13/07,81,65,73,0,0,0
8/14/07,84,65,75,3,0.41,0
8/15/07,80,71,76,4,0.23,0
8/16/07,77,65,71,-1,0,0
8/17/07,79,60,70,-2,0,0
8/18/07,68,59,64,-8,0.09,1
8/19/07,68,62,65,-6,1.33,0
8/20/07,78,68,73,2,0.91,0
8/21/07,87,69,78,7,  T,0
8/22/07,90,69,80,9,0.37,0
8/23/07,87,69,78,7,2.35,0
8/24/07,80,69,75,4,0.24,0
8/25/07,79,64,72,2,0.34,0
8/26/07,79,60,70,0,0,0
8/27/07,79,60,70,0,0,0
8/28/07,91,67,79,9,0,0
8/29/07,85,68,77,7,  T,0
8/30/07,75,57,66,-4,0,0
8/31/07,77,57,67,-2,0,0
9/1/07,81,57,69,1,0,0
9/2/07,85,61,73,5,0,0
9/3/07,88,66,77,9,0,0
9/4/07,89,63,76,8,0,0
9/5/07,90,66,78,11,  T,0
9/6/07,82,73,78,11,0.18,0
9/7/07,84,70,77,10,0.19,0
9/8/07,78,64,71,5,0,0
9/9/07,80,63,72,6,0,0
9/10/07,74,54,64,-2,0.36,1
9/11/07,71,50,61,-4,  T,4
9/12/07,67,46,57,-8,0,8
9/13/07,78,50,64,-1,0,1
9/14/07,66,45,56,-8,0,9
9/15/07,61,39,50,-14,0,15
9/16/07,71,44,58,-6,0,7
9/17/07,80,52,66,2,0,0
9/18/07,88,63,76,12,0,0
9/19/07,84,65,75,12,0,0
9/20/07,78,60,69,7,0,0
9/21/07,88,64,76,14,0,0
9/22/07,74,51,63,1,0,2
9/23/07,84,50,67,6,0,0
9/24/07,90,68,79,18,0,0
9/25/07,85,63,74,13,0.27,0
9/26/07,69,53,61,1,0.09,4
9/27/07,75,49,62,2,  T,3
9/28/07,73,53,63,4,0,2
9/29/07,80,50,65,6,0,0
9/30/07,83,59,71,12,0.14,0
10/1/07,69,59,64,6,0.29,1
10/2/07,78,57,68,10,0.09,0
10/3/07,74,55,65,8,0,0
10/4/07,82,51,67,10,0,0
10/5/07,84,62,73,16,0,0
10/6/07,87,69,78,22,0,0
10/7/07,87,67,77,21,0,0
10/8/07,87,60,74,18,0,0
10/9/07,76,49,63,8,0,2
10/10/07,54,47,51,-4,  T,14
10/11/07,54,46,50,-4,0,15
10/12/07,56,41,49,-5,0,16
10/13/07,59,40,50,-3,0,15
10/14/07,61,53,57,4,0.15,8
10/15/07,74,51,63,10,0.07,2
10/16/07,67,52,60,8,0.24,5
10/17/07,72,47,60,8,0.04,5
10/18/07,78,59,69,18,0.3,0
10/19/07,60,52,56,5,0.01,9
10/20/07,73,47,60,10,0,5
10/21/07,80,60,70,20,0,0
10/22/07,67,46,57,7,0.16,8
10/23/07,58,43,51,2,0,14
10/24/07,55,43,49,0,0,16
10/25/07,55,45,50,2,  T,15
10/26/07,65,53,59,11,0.33,6
10/27/07,55,37,46,-2,0.01,19
10/28/07,56,34,45,-2,0,20
10/29/07,61,39,50,3,0,15
10/30/07,66,41,54,8,0,11
10/31/07,62,41,52,6,0,13
11/1/07,54,35,45,0,0,20
11/2/07,57,31,44,-1,0,21
11/3/07,55,36,46,1,0,19
11/4/07,53,37,45,1,0.01,20
11/5/07,54,37,46,2,  T,19
11/6/07,45,33,39,-4,0,26
11/7/07,43,31,37,-6,  T,28
11/8/07,51,36,44,2,  T,21
11/9/07,48,32,40,-2,0,25
11/10/07,50,28,39,-3,0,26
11/11/07,57,42,50,9,0.06,15
11/12/07,66,44,55,14,0,10
11/13/07,60,33,47,7,  T,18
11/14/07,56,39,48,8,  T,17
11/15/07,40,28,34,-6,  T,31
11/16/07,41,24,33,-6,0,32
11/17/07,46,34,40,1,0.04,25
11/18/07,43,37,40,2,0.01,25
11/19/07,59,38,49,11,  T,16
11/20/07,55,45,50,13,0.3,15
11/21/07,45,33,39,2,0.83,26
11/22/07,33,25,29,-8,0.01,36
11/23/07,32,22,27,-9,0,38
11/24/07,38,27,33,-3,0,32
11/25/07,38,28,33,-2,  T,32
11/26/07,39,31,35,0,  T,30
11/27/07,35,24,30,-4,0,35
11/28/07,48,23,36,2,  T,29
11/29/07,34,18,26,-8,0,39
11/30/07,36,20,28,-5,0,37
12/1/07,34,19,27,-6,0.63,38
12/2/07,45,27,36,4,0.23,29
12/3/07,29,19,24,-8,0,41
12/4/07,33,22,28,-3,0.23,37
12/5/07,30,9,20,-11,0.18,45
12/6/07,24,0,12,-19,0.04,53
12/7/07,30,24,27,-3,  T,38
12/8/07,24,13,19,-11,0.04,46
12/9/07,29,22,26,-4,0.02,39
12/10/07,32,25,29,0,  T,36
12/11/07,33,27,30,1,0.67,35
12/12/07,36,23,30,2,  T,35
12/13/07,34,28,31,3,  T,34
12/14/07,28,18,23,-5,0,42
12/15/07,31,25,28,1,0.17,37
12/16/07,29,17,23,-4,0.17,42
12/17/07,23,15,19,-8,  T,46
12/18/07,37,21,29,3,0,36
12/19/07,34,22,28,2,0,37
12/20/07,38,23,31,5,0.06,34
12/21/07,38,33,36,10,0.06,29
12/22/07,50,36,43,18,0.11,22
12/23/07,52,14,33,8,0.24,32
12/24/07,26,20,23,-2,  T,42
12/25/07,42,21,32,7,0,33
12/26/07,45,24,35,11,  T,30
12/27/07,38,30,34,10,0.07,31
12/28/07,34,30,32,8,0.28,33
12/29/07,30,20,25,1,0,40
12/30/07,35,18,27,4,0.03,38
12/31/07,33,25,29,6,0.26,36
1/1/08,27,4,16,-7,0.05,49
1/2/08,20,2,11,-12,  T,54
1/3/08,23,0,12,-11,0,53
1/4/08,36,22,29,7,0,36
1/5/08,43,35,39,17,  T,26
1/6/08,60,41,51,29,0.01,14
1/7/08,65,51,58,36,0.03,7
1/8/08,56,37,47,25,0.66,18
1/9/08,39,30,35,13,0,30
1/10/08,44,32,38,16,0.3,27
1/11/08,36,28,32,10,0.01,33
1/12/08,41,25,33,11,0,32
1/13/08,37,27,32,11,  T,33
1/14/08,27,15,21,0,0.02,44
1/15/08,26,13,20,-1,  T,45
1/16/08,40,20,30,9,0,35
1/17/08,33,12,23,2,0.08,42
1/18/08,27,6,17,-4,  T,48
1/19/08,6,-3,2,-20,  T,63
1/20/08,10,-5,3,-19,0,62
1/21/08,27,8,18,-4,0.1,47
1/22/08,29,10,20,-2,0.08,45
1/23/08,14,5,10,-12,0.04,55
1/24/08,10,-4,3,-19,0,62
1/25/08,20,-5,8,-14,0.03,57
1/26/08,32,19,26,4,0.05,39
1/27/08,35,6,21,-1,0,44
1/28/08,44,20,32,10,0.02,33
1/29/08,48,2,25,2,0.2,40
1/30/08,12,-2,5,-18,0,60
1/31/08,26,10,18,-5,0.25,47
2/1/08,30,24,27,4,0.14,38
2/2/08,30,25,28,5,  T,37
2/3/08,32,25,29,5,0.16,36
2/4/08,44,32,38,14,0.33,27
2/5/08,40,32,36,12,0.18,29
2/6/08,34,26,30,6,0.54,35
2/7/08,27,24,26,1,  T,39
2/8/08,38,23,31,6,0.07,34
2/9/08,36,16,26,1,  T,39
2/10/08,16,-4,6,-20,0,59
2/11/08,15,-3,6,-20,  T,59
2/12/08,22,13,18,-8,0.13,47
2/13/08,21,7,14,-12,  T,51
2/14/08,34,13,24,-3,  T,41
2/15/08,24,9,17,-10,0,48
2/16/08,33,5,19,-8,0.01,46
2/17/08,47,30,39,11,1.1,26
2/18/08,32,7,20,-8,  T,45
2/19/08,14,4,9,-19,  T,56
2/20/08,19,5,12,-17,0.02,53
2/21/08,23,8,16,-13,  T,49
2/22/08,27,21,24,-5,  T,41
2/23/08,33,19,26,-4,0,39
2/24/08,36,17,27,-3,0,38
2/25/08,34,31,33,3,0.46,32
2/26/08,32,20,26,-5,0.25,39
2/27/08,23,15,19,-12,0,46
2/28/08,26,8,17,-14,0.02,48
2/29/08,38,23,31,0,0.12,34
,33,21,27,-5,0,38
,57,32,45,13,0.07,20
,56,24,40,7,0.61,25
,31,21,26,-7,0,39
,36,21,29,-4,  T,36
,32,21,27,-7,  T,38
,26,14,20,-14,  T,45
,25,14,20,-14,0.01,45
,35,20,28,-7,  T,37
,35,25,30,-5,  T,35
,48,23,36,0,0,29
,44,28,36,0,0,29
,57,35,46,10,0,19
,57,30,44,7,0,21
,39,27,33,-4,0,32
,37,26,32,-5,0,33
,39,30,35,-3,0.02,30
,42,36,39,1,0.06,26
,48,33,41,3,0,24
,49,28,39,0,0,26
,34,29,32,-7,0.58,33
,37,27,32,-7,0.08,33
,42,26,34,-6,0,31
,39,27,33,-7,0,32
,58,35,47,6,0,18
,51,31,41,0,0,24
,45,32,39,-2,0.47,26
,40,27,34,-8,  T,31
,44,26,35,-7,0,30
,42,36,39,-3,0.03,26
,60,39,50,7,0.7,15
4/1/08,58,32,45,2,  T,20
4/2/08,50,28,39,-4,0,26
4/3/08,53,35,44,1,0.19,21
4/4/08,54,38,46,3,0.01,19
4/5/08,63,37,50,6,0,15
4/6/08,64,37,51,7,0,14
4/7/08,53,42,48,3,0.01,17
4/8/08,45,40,43,-2,0.61,22
4/9/08,52,37,45,0,0,20
4/10/08,53,37,45,-1,0.84,20
4/11/08,64,40,52,6,0.03,13
4/12/08,42,33,38,-8,0.22,27
4/13/08,42,32,37,-10,0.04,28
4/14/08,50,33,42,-5,0,23
4/15/08,59,31,45,-2,0,20
4/16/08,73,45,59,11,0,6
4/17/08,69,45,57,9,0,8
4/18/08,75,45,60,11,  T,5
4/19/08,65,47,56,7,0.06,9
4/20/08,72,44,58,9,0,7
4/21/08,75,42,59,9,0,6
4/22/08,74,49,62,11,0,3
4/23/08,74,53,64,13,0,1
4/24/08,74,54,64,13,0.07,1
4/25/08,82,44,63,11,0.23,2
4/26/08,57,38,48,-4,0,17
4/27/08,54,38,46,-6,0,19
4/28/08,46,35,41,-12,0.41,24
4/29/08,44,31,38,-15,0,27
4/30/08,57,31,44,-9,0,21
5/1/08,74,48,61,8,0,4
5/2/08,74,51,63,9,1.28,2
5/3/08,56,43,50,-4,  T,15
5/4/08,65,38,52,-2,0,13
5/5/08,75,50,63,8,0,2
5/6/08,81,46,64,9,0,1
5/7/08,70,49,60,5,0.76,5
5/8/08,59,45,52,-4,0,13
5/9/08,58,41,50,-6,0,15
5/10/08,61,38,50,-6,0,15
5/11/08,58,46,52,-5,0.95,13
5/12/08,56,40,48,-9,0,17
5/13/08,73,40,57,-1,0.08,8
5/14/08,64,45,55,-3,0.02,10
5/15/08,57,43,50,-8,0,15
5/16/08,73,40,57,-2,0,8
5/17/08,73,52,63,4,0.12,2
5/18/08,55,44,50,-10,0,15
5/19/08,60,40,50,-10,  T,15
5/20/08,66,47,57,-4,0,8
5/21/08,66,41,54,-7,0,11
5/22/08,59,45,52,-9,0,13
5/23/08,57,46,52,-9,0,13
5/24/08,67,40,54,-8,0,11
5/25/08,78,44,61,-1,  T,4
5/26/08,81,47,64,2,0.48,1
5/27/08,50,42,46,-16,0,19
5/28/08,62,43,53,-10,0,12
5/29/08,67,42,55,-9,0.01,10
5/30/08,77,55,66,2,0.4,0
5/31/08,79,59,69,5,0,0
6/1/08,74,53,64,0,0,1
6/2/08,86,56,71,7,  T,0
6/3/08,69,55,62,-2,0.52,3
6/4/08,78,54,66,2,  T,0
6/5/08,87,60,74,9,0.64,0
6/6/08,87,73,80,14,  T,0
6/7/08,85,69,77,11,0.11,0
6/8/08,85,64,75,9,1.24,0
6/9/08,74,65,70,4,0.14,0
6/10/08,79,59,69,2,  T,0
6/11/08,86,61,74,7,0,0
6/12/08,91,73,82,14,0,0
6/13/08,82,65,74,6,0.39,0
6/14/08,84,59,72,4,0,0
6/15/08,81,61,71,3,0.18,0
6/16/08,72,59,66,-3,0,0
6/17/08,76,55,66,-3,0,0
6/18/08,77,56,67,-3,0,0
6/19/08,81,52,67,-3,0,0
6/20/08,82,58,70,0,0.09,0
6/21/08,82,61,72,2,0.01,0
6/22/08,82,57,70,0,0.16,0
6/23/08,77,56,67,-3,0,0
6/24/08,82,55,69,-2,0,0
6/25/08,79,66,73,2,0.08,0
6/26/08,86,70,78,7,0,0
6/27/08,84,66,75,4,  T,0
6/28/08,83,64,74,3,0.04,0
6/29/08,75,60,68,-3,0.58,0
6/30/08,80,59,70,-2,0,0
7/1/08,83,58,71,-1,0,0
7/2/08,87,63,75,3,0.2,0
7/3/08,71,55,63,-9,  T,2
7/4/08,76,52,64,-8,0,1
7/5/08,80,54,67,-5,0,0
7/6/08,87,59,73,1,0,0
7/7/08,87,71,79,7,0.03,0
7/8/08,85,70,78,5,0.03,0
7/9/08,85,67,76,3,  T,0
7/10/08,82,64,73,0,0.72,0
7/11/08,88,64,76,3,0.34,0
7/12/08,81,65,73,0,0.73,0
7/13/08,79,62,71,-2,0,0
7/14/08,84,62,73,0,0,0
7/15/08,90,61,76,2,0,0
7/16/08,90,71,81,7,0,0
7/17/08,89,71,80,6,0,0
7/18/08,86,74,80,6,0.04,0
7/19/08,78,67,73,-1,1.61,0
7/20/08,86,68,77,3,0.74,0
7/21/08,83,68,76,2,0.13,0
7/22/08,77,63,70,-4,  T,0
7/23/08,81,60,71,-3,0,0
7/24/08,82,59,71,-3,0,0
7/25/08,82,61,72,-2,0,0
7/26/08,84,65,75,1,0,0
7/27/08,83,62,73,-1,0,0
7/28/08,85,66,76,2,0,0
7/29/08,88,65,77,3,0.05,0
7/30/08,89,72,81,7,0,0
7/31/08,89,72,81,7,0.14,0
8/1/08,89,68,79,6,1.05,0
8/2/08,81,65,73,0,0,0
8/3/08,84,61,73,0,0,0
8/4/08,87,70,79,6,2.43,0
8/5/08,87,69,78,5,0,0
8/6/08,84,67,76,3,0,0
8/7/08,82,64,73,0,0,0
8/8/08,79,63,71,-2,0,0
8/9/08,80,62,71,-2,  T,0
8/10/08,74,58,66,-7,0,0
8/11/08,77,59,68,-5,0,0
8/12/08,77,61,69,-4,0,0
8/13/08,79,66,73,0,0.06,0
8/14/08,79,63,71,-1,0,0
8/15/08,78,61,70,-2,0,0
8/16/08,83,58,71,-1,0,0
8/17/08,84,63,74,2,0,0
8/18/08,85,65,75,3,0,0
8/19/08,82,63,73,2,0,0
8/20/08,81,65,73,2,0,0
8/21/08,82,68,75,4,  T,0
8/22/08,83,72,78,7,0.09,0
8/23/08,87,68,78,7,0,0
8/24/08,77,63,70,-1,0,0
8/25/08,74,64,69,-1,0,0
8/26/08,76,61,69,-1,0,0
8/27/08,83,61,72,2,0,0
8/28/08,80,63,72,2,0.06,0
8/29/08,85,64,75,5,0.04,0
8/30/08,87,56,72,2,0,0
8/31/08,90,60,75,6,0,0
9/1/08,90,62,76,8,0,0
9/2/08,94,65,80,12,0,0
9/3/08,77,66,72,4,0.02,0
9/4/08,67,61,64,-4,2.9,1
9/5/08,70,57,64,-3,0,1
9/6/08,74,53,64,-3,0.01,1
9/7/08,74,55,65,-2,0,0
9/8/08,67,52,60,-6,1.23,5
9/9/08,69,49,59,-7,0,6
9/10/08,72,48,60,-6,0,5
9/11/08,79,55,67,2,  T,0
9/12/08,73,69,71,6,0.37,0
9/13/08,75,68,72,7,6.64,0
9/14/08,72,58,65,1,1.44,0
9/15/08,63,53,58,-6,  T,7
9/16/08,71,49,60,-4,0,5
9/17/08,82,57,70,6,0,0
9/18/08,74,56,65,1,0,0
9/19/08,77,54,66,3,0,0
9/20/08,82,56,69,7,0,0
9/21/08,80,58,69,7,0,0
9/22/08,81,61,71,9,0,0
9/23/08,82,59,71,10,0,0
9/24/08,82,57,70,9,0.2,0
9/25/08,77,63,70,9,0,0
9/26/08,79,59,69,9,0,0
9/27/08,81,53,67,7,0,0
9/28/08,68,57,63,4,0,2
9/29/08,64,54,59,0,0.82,6
9/30/08,59,48,54,-5,0,11
10/1/08,61,46,54,-4,0,11
10/2/08,61,42,52,-6,0,13
10/3/08,60,44,52,-5,0.01,13
10/4/08,61,38,50,-7,0,15
10/5/08,61,41,51,-6,0.06,14
10/6/08,69,54,62,6,0,3
10/7/08,63,56,60,4,0.8,5
10/8/08,64,50,57,1,0.19,8
10/9/08,69,47,58,3,0,7
10/10/08,72,42,57,2,0,8
10/11/08,79,51,65,11,0,0
10/12/08,84,57,71,17,0,0
10/13/08,77,61,69,16,0,0
10/14/08,69,53,61,8,  T,4
10/15/08,63,47,55,2,0.3,10
10/16/08,59,43,51,-1,0,14
10/17/08,57,43,50,-2,0,15
10/18/08,60,43,52,1,0.05,13
10/19/08,62,40,51,0,0,14
10/20/08,55,43,49,-1,0.18,16
10/21/08,55,38,47,-3,0,18
10/22/08,52,35,44,-6,0,21
10/23/08,58,41,50,1,0.16,15
10/24/08,54,44,49,0,0.32,16
10/25/08,53,43,48,0,  T,17
10/26/08,56,37,47,-1,  T,18
10/27/08,47,33,40,-8,  T,25
10/28/08,45,31,38,-9,0,27
10/29/08,51,32,42,-5,0,23
10/30/08,62,31,47,1,0,18
10/31/08,70,48,59,13,0,6
11/1/08,54,48,51,6,0,14
11/2/08,67,48,58,13,0.1,7
11/3/08,73,54,64,19,0,1
11/4/08,71,50,61,17,0,4
11/5/08,71,47,59,15,0,6
11/6/08,65,45,55,12,0.34,10
11/7/08,47,35,41,-2,0.06,24
11/8/08,40,35,38,-4,0.05,27
11/9/08,39,30,35,-7,  T,30
11/10/08,39,26,33,-9,  T,32
11/11/08,38,23,31,-10,0.29,34
11/12/08,48,38,43,2,0.04,22
11/13/08,55,44,50,10,0.06,15
11/14/08,52,42,47,7,0.05,18
11/15/08,42,35,39,-1,  T,26
11/16/08,37,29,33,-6,0.01,32
11/17/08,36,26,31,-8,  T,34
11/18/08,34,21,28,-10,0,37
11/19/08,44,29,37,-1,0,28
11/20/08,36,22,29,-8,  T,36
11/21/08,29,17,23,-14,0,42
11/22/08,35,17,26,-11,0,39
11/23/08,45,20,33,-3,0,32
11/24/08,38,32,35,-1,0.14,30
11/25/08,40,28,34,-1,0,31
11/26/08,42,24,33,-2,0,32
11/27/08,45,22,34,0,0,31
11/28/08,44,26,35,1,0,30
11/29/08,44,20,32,-2,0,33
11/30/08,39,33,36,3,0.67,29
12/1/08,33,21,27,-6,0.42,38
12/2/08,35,21,28,-4,  T,37
12/3/08,38,20,29,-3,0.09,36
12/4/08,22,12,17,-14,  T,48
12/5/08,23,7,15,-16,  T,50
12/6/08,32,13,23,-8,0.02,42
12/7/08,20,4,12,-18,  T,53
12/8/08,38,16,27,-3,0.02,38
12/9/08,38,25,32,2,1.47,33
12/10/08,29,18,24,-5,0,41
12/11/08,32,17,25,-4,0,40
12/12/08,21,11,16,-12,0,49
12/13/08,39,19,29,1,0.19,36
12/14/08,50,31,41,13,0.18,24
12/15/08,31,5,18,-9,0.07,47
12/16/08,22,6,14,-13,0.31,51
12/17/08,20,6,13,-14,  T,52
12/18/08,23,3,13,-13,0.06,52
12/19/08,32,22,27,1,0.59,38
12/20/08,31,17,24,-2,0.05,41
12/21/08,16,-6,5,-21,  T,60
12/22/08,7,-4,2,-23,0,63
12/23/08,34,7,21,-4,0.27,44
12/24/08,34,6,20,-5,0.18,45
12/25/08,24,0,12,-13,0,53
12/26/08,52,24,38,14,0.09,27
12/27/08,61,32,47,23,1.74,18
12/28/08,32,24,28,4,  T,37
12/29/08,43,29,36,12,0,29
12/30/08,40,24,32,9,0.02,33
12/31/08,24,11,18,-5,  T,47
1/1/09,31,17,24,1,0,41
